timestamp,generation_solar,generation_wind_onshore,generation_wind_offshore,generation_hydro_run_of_river_and_poundage,generation_nuclear,generation_fossil_gas,generation_fossil_hard_coal,generation_fossil_oil,generation_biomass,generation_waste,generation_other
2024-12-14 01:00:00,0.0,1667.0,,1435.0,4196.0,55.25,170.5,0.0,1039.75,48.0,326.75
2024-12-14 02:00:00,0.0,2016.75,,1392.75,4196.25,55.75,168.25,0.0,1058.25,27.0,315.25
2024-12-14 03:00:00,0.0,2335.0,,1411.5,4197.0,55.25,167.75,0.0,1047.75,25.0,315.0
2024-12-14 04:00:00,0.0,2660.25,,1382.75,4196.25,56.0,167.25,0.0,1057.0,25.0,307.5
2024-12-14 05:00:00,0.0,3021.5,,1417.75,4196.5,56.5,171.75,0.0,1063.5,25.0,293.5
2024-12-14 06:00:00,0.0,3517.5,,1387.25,4195.75,56.0,168.75,0.0,1076.5,25.0,289.25
2024-12-14 07:00:00,0.0,4035.75,,1409.75,4196.75,55.25,171.25,0.0,1103.5,25.0,293.75
2024-12-14 08:00:00,0.5,4532.0,,1441.75,4196.75,55.75,170.5,0.0,1102.0,25.0,310.25
2024-12-14 09:00:00,3.0,4712.75,,1477.5,4196.5,55.0,170.0,0.0,1111.0,25.0,296.25
2024-12-14 10:00:00,2.5,4823.5,,1411.25,4197.0,55.75,169.0,0.0,1111.5,25.0,300.5
2024-12-14 11:00:00,0.0,4859.0,,1335.75,4196.5,54.75,170.25,0.0,1113.25,24.25,318.5
2024-12-14 12:00:00,0.0,5083.75,,1393.5,4196.5,54.25,170.0,0.0,1118.5,25.75,293.75
2024-12-14 13:00:00,0.0,5238.0,,1355.75,4195.75,61.0,170.0,0.0,1119.25,41.75,301.25
2024-12-14 14:00:00,0.0,5307.25,,1335.75,4196.0,62.0,170.5,0.0,1113.5,53.0,305.5
2024-12-14 15:00:00,0.0,5420.25,,1468.25,4195.75,59.75,171.75,0.0,1115.25,53.25,299.75
2024-12-14 16:00:00,0.0,5508.5,,1464.0,4195.0,55.0,170.75,0.0,1095.75,54.75,288.0
2024-12-14 17:00:00,0.0,5629.5,,1335.5,4194.25,55.75,170.0,0.0,1083.75,55.0,298.75
2024-12-14 18:00:00,0.0,5829.5,,1224.0,4193.25,56.25,170.0,0.0,1090.25,54.0,289.25
2024-12-14 19:00:00,0.0,5950.25,,1144.0,4195.25,56.5,170.0,0.0,1074.75,53.75,286.75
